RSSI LEFT_ORIGIN,RSSI MIDDLE_ORIGIN,RSSI RIGHT_ORIGIN,RSSI TRUNK_ORIGIN,RSSI FRONTLEFT_ORIGIN,RSSI FRONTRIGHT_ORIGIN,RSSI REARLEFT_ORIGIN,RSSI REARRIGHT_ORIGIN,class
-64,-59,-70,-65,-86,-88,-79,-81,start
-51,-59,-77,-64,-75,-82,-80,-78,start
-76,-76,-80,-69,-89,-90,-66,-59,back
-84,-74,-79,-65,-83,-94,-73,-67,back
-67,-66,-68,-41,-84,-88,-70,-67,trunk
-81,-85,-87,-76,-73,-70,-94,-91,lock
-84,-84,-82,-71,-86,-90,-65,-61,back
-83,-87,-82,-84,-73,-70,-91,-87,lock
-76,-78,-81,-57,-81,-93,-71,-68,back
-84,-82,-85,-69,-91,-92,-64,-63,back
-52,-62,-76,-61,-81,-84,-75,-79,start
-76,-85,-86,-84,-63,-82,-83,-90,front
-81,-90,-91,-90,-69,-85,-86,-94,lock
-85,-79,-90,-82,-68,-72,-92,-90,front
-76,-87,-86,-77,-71,-72,-90,-91,front
-57,-73,-81,-75,-77,-93,-73,-88,left
-78,-75,-83,-63,-92,-93,-75,-65,back
-72,-70,-73,-60,-83,-96,-81,-76,back
-76,-79,-68,-76,-89,-78,-87,-78,right
-73,-56,-76,-72,-96,-88,-89,-87,start
-66,-65,-81,-66,-80,-96,-85,-81,start
-77,-83,-90,-86,-73,-83,-80,-81,lock
-68,-57,-64,-66,-83,-89,-84,-81,start
-89,-85,-80,-65,-88,-91,-61,-67,back
-58,-63,-73,-68,-80,-93,-85,-80,start
-73,-81,-89,-76,-84,-96,-66,-73,back
-74,-64,-65,-44,-89,-83,-61,-67,trunk
-74,-68,-72,-49,-86,-87,-70,-66,trunk
-65,-70,-71,-52,-91,-94,-69,-73,trunk
-65,-66,-66,-50,-85,-91,-72,-68,trunk
-81,-88,-92,-79,-61,-87,-80,-91,front
-79,-79,-82,-64,-86,-93,-61,-71,back
-76,-72,-56,-72,-87,-79,-87,-88,right
-73,-63,-75,-73,-84,-85,-82,-84,start
-83,-81,-89,-92,-66,-74,-90,-90,front
-58,-62,-69,-58,-76,-87,-75,-76,start
-77,-84,-88,-80,-67,-71,-85,-91,front
-66,-75,-79,-71,-78,-94,-68,-81,left
-71,-60,-72,-69,-85,-83,-83,-84,start
-72,-72,-73,-54,-87,-89,-71,-69,back
-68,-80,-77,-66,-80,-93,-68,-87,left
-86,-85,-79,-73,-91,-80,-75,-72,lock
